english_word,word_type,wolof_meaning
bald head,va,leel
bald headed,va,leel
balls(slang),n,kooy
bamboo bed,n,gonga
banana,n,banaana
bandage,n,bandaas
bandage,v,baandaas
bandit group,n,ganlgen
bandits,n,ganlgen
bangle,n,lam
bantaba,n,"garan-palaas, penca"
baobab fruit,n,buy
bar-b-qued meat/fish,n,yaasa
barely touch,v,cof
baren,adj,jaasiir
bargain,v,woxaale
bark,v,bów
barrel,n,bórig
barricade,v,baare
basket,n,pañe
bath,n,janaaba
bath room,n,wanag
bathe (oneself),v,sangu
bathe (someone),v,sanga
bath-pan,n,beñuwaar
bathroom,n,sanguwaay
be,va,feex
be able,adv,mun
be abnormal,va,eembadi
be active,va,sawar
be alive,n,dunda
be allergic,va,jomlu
be already mixed,va,jaxasu
be ashamed of,va,jomlu
be awful,n,doywaar
be bad,adj,bon
be banal,va,soof
be behave sulkily,n,diiju
be bend,va,lunka
be bent,va,moy
be better,va,gén
be better than,va,mun
be bewitched,va,jommi
be big,adj,"dija, duuf"
be bland,va,lewet
be born,v,judu
be born at,va,judoo
be bothering,va,gétené
be broad,va,fireeku
be calm,va,jaambuur
be capsized,va,kóppa
be careful,va,moytu
be chipped,v,ekateku
be close,va,"jege, jegeň"
be complete,va,kaamiir
be complished,va,sooti
be content,va,"bëg, kontaan"
be content,n,gore
be crooked,v,dénga
be crooked,va,lunka
be dedicated,va,farlu
be deficient,v,dese
be devoted,va,farlu
be dirty,adj,ëna
be disappointed,n,loru
be discreet,n,kersa
be disturbed,v,géten
be disturbing,va,gétené
be drained,va,fendi
be enormous,adj,duuf
be enough,adj,mut
be entangled,va,fasu
be equipped,va,gaacaayoo
be every dirty,adj,foo
be evil,va,kataa
be expensive,va,jafe
be familiar with,va,miis
be famous,n,jar
be fast(slang),va,saas
be fat,va,am-yaram
be fed up with,va,sib
be fermented,adj,ëna
be finished,va,paree
be first,va,jëkka
be fixed,va,fees
be flayed,va,fulééku
be forbidden,v,araam
be found,v,feeñ
be freed,va,mucca
be frightful,va,ragal
be full (expression),ex,feec
be fussy,va,"faraw, sob"
be getter than,va,gén
be good,adj,baax
be gorgeous (slang),adj,fata
be grave,adj,ñanga
be haggered,va,raaga
be happy,va,kontaan
be hard,va,"dëgër/dëgar, jafe"
be honest,n,gore
be honourable,adj,foor
be hung,va,aju
be effeminate,n,goór-jigeén
be impatient,va,faraw
be important,adj,foor
be impudent,va,reew
be in a better position,va,jeéku
be in a corner,va,kaju
be in a doubt,va,jaaxle
be in a mess,va,jagadi
be in a tie,va,maas-gu-dan
be in coma,n,meéda
be in excess,va,óppa
be in flames,va,jaf
be in harmonious relationship,va,juboo
be in scarcity,va,jafe
be in straight forward,va,jubadi
be in trouble,va,lebu-lantan
be in uniform,v,niroole/nuroole
be inextricable,va,jaxasoo
be influential,adj,foor
be infrequent,va,gëj
be innocent,adj,ey
be in-order,va,jag
be inquisitive,va,déňkumpa
be insane,va,eembadi
be insipid,va,soof
be interested in,va,ebu
be jealous,va,"añaan, kañaan"
be kidding,n,caaxaan
be lanky,va,kayan
be large,adj,dija
be last,n,muje
be lazy,v,ŋaaň
be levelled,va,maasaloo
be little,v,kayitloo/këyitloo
be located,v,féétéé
be logical,va,jaadu
be lonely for someone,va,gelu
be long,adj,gudda
be loose,va,kal-kali
be loquacious,va,kacco-kacсо
be lost,va,gëlëm
be lucky,va,jig
be mean,adj,bon
be mischievous,va,sob
be mistaken,va,juumé
be near,va,jegeň
be necessary,n,dagan
be nice,va,neex
be normal,va,eemba
be nosy,va,déňkumpa
be of great surprise,n,doywaar
be on the rocks,va,Fande
be open,v,laaņa
be opened,v,ŋaapeeku
be opposite,prep,jaakaarloo
be optimistic,v,gaanga
be outspoken,va,sañ
be patient,va,muň
be petty(slang),va,sew
be pleasant,va,neex
be plentiful,va,jax
be plenty,va,"las, naax"
be pregnant,va,ómba
be pregnant(slang),adj,ñeebe
be prosperous,va,naat
be quick,adj,gaaw
be quiet,v,dee
be quiet,adj,mukus
be quiet,va,jaambuur
be ready,va,jeex
be reluctant,va,neeg
be reserved,va,jaambuur
be restless,v,"emadi, ñuum-ñuutu"
be rigid,va,kadda
be sane,va,eemba
be save,va,mucca
be scarce,va,jafeň
be selfish,va,añaan
be serious,va,garaaw
be serious,adj,ñanga
be short,adj,gaata
be shut,v,sës
be small,adj,ndaw
be smart,va,am-xel
be smoothed,va,giif
be soft,adj,nooy
be spilled beyond repair,va,kasaara
be sticky,va,ñapaaku
be stiff,va,kadda
be still,v,jeeki
be still a white clay,va,kew
be stingy,v,ŋaaň
be stocked,va,kalle
be straight,va,"jub, leer"
be stranded,va,Fande
be strong,va,dëgër/dëgar
be stubborn,n,génékat
be sufficient,adj,mut
be suitable,va,jag
be tall,adj,njool
be tangled,va,jaxasoo
be terrible,n,doywaar
be the last,n,mujeél
be thick,v,far
be thirsty,va,mar
be tight fisted,va,noota
be tired of something/one,va,iin
be too much,va,óppa
be trained,va,mandu
be troublesome,va,kataa
be turned over,va,kóppa
be unable to make a sacre,va,jeeg
be under a spell,va,jommi
be undressed,v,futeéku
be unfrequent,va,juux
be united,v,jaappoo
be unruly,va,luubu/luugu
be unstuffed,va,ñuxeeku
be up against,v,sës
be used to,va,miin
be very,inten,guy
be very drunk(expression)s,inten,dur
be very full,inten,këll
be weightless,va,oyof
be well-done,va,jag
be well-off,va,jeéku
be womanish,n,goór-jigeén
be worthy,n,jar
be wrecked,v,kalaate
be wrinkle,va,lax
beach,n,tefes
bead belt,n,fer
beads,n,kurus
beads worn around the wat,n,jal jali
bean,n,sëb
bean cake,n,akara
beans,n,ñeebe
beard,n,"faas, sikim"
bear(with pain),va,mattu
beat,v,"buja, dóor, duma/dJor, kaccari, nooxa, ñef, ñuus, sar"
beat with tiny stick,v,caw
beat(slang),v,laamba
beautiful,va,"rafet, taaru"
beauty,va,taar
because,conj,"komka, ndig, ndigte, ngir"
because of,conj,"ndig, ndigte, ngir"
bed,n,lal
bed bugs,n,matta
bed room,n,kabinet
bed sheet,n,darab
beer,n,beer
beetle,n,"gunuur/gunduur, wanxa"
beg,v,ñaan
begger,n,woyaankat
begin,v,"door, kumaase, taambali"
begin a muslim prayer,v,kabbar
beg(money by eulogizing),v,woyaan
behave,v,maa
behavior,n,melokaan
behavior,va,melo
behind,prep,ganaaw
being shave,va,nelu
belch,v,giix
belief,n,yaakaar
belief,v,góm
believe,v,laa
believe,va,"defe, yaakaar"
believe in,va,gëm/góm
belly,n,koola
belly button,n,jumbax
belonging,pa,bos
bend,v,"banka, biij"
bend down,v,segga
bend down with butt up,v,juutu
beneath,prep,suuf
beside,postp,daala
beside,n,daala
betray,adj,janfaa
betray,v,janfaa
betray,va,"jaambu, or, wor"
betrayal,n,janfaa
betrayer,n,orkat
better,va,"gén, tane"
better than,v,daaxa
better than,va,"daaxa, gén"
between mid-day and 2.00m,n,njoloor
between two parties,v,dëdale
beyond prescribed limits,va,yaatu
bicycle,n,welo
bid farewell,v,njoos
big,va,réy
big dipper,n,kuddu luus
big elephant ears,n,mbiif
bile,n,wextan
bird,n,picca
biscuit,n,mbiskit
bite,v,"matta, xapati"
bitter,va,wex
bitter tomatoes,n,"jaxatu, xuluñel"
black,n,ñuul
black bird,n,ndóbin
black pepper,n,poobar
black scorpion,n,jankalaar
black smith,n,tëga
blacken,v,findi
bleach,n,"ordasawel, weexal"
bleach one's skin,v,xeestal
bleed,v,nacca
blind,va,gumbo
blind person,va,gumbo
blink wink,v,xef
blister,n,futta
block,v,"baare, gatandu, kal"
blocked,va,kalle
blood,n,deret
blouse,n,mariñeer
blow one's nose,v,ñandu
blue,va,bulóo
bluff,v,xajaan
boast,v,xajaan
boat,n,"gaal, saxaar"
body,n,yaram
body part,n,cër
boil,v,"bax, baxal"
boil,n,taab
boiled peanuts,n,gete-baxal
bone,n,yax
book,n,teere
book case(enclosed),n,kaggu
book oneself,v,bindu
boot,n,maal
borrow,v,"aaba, leb"
borrow out,v,abale/able
borrower,n,aabakat
bosom,n,ween
boss,n,patron
bother,v,xatal
bother,n,mbuggal
bother,va,lakkal
bottom,prep,suuf
botton,n,buton
bought,v,santa
bow down,v,segga
bowl,n,"bool, ndab"
box,n,"boyet, kees"
boy friend (lover),n,coro
boyfriend,v,far
brace a problem,v,jëngu
bracelet,n,"gurmet, jara, lam"
braid,v,"létta, maab"
brain,n,yuur
branch,n,banxaas
branch off,v,fata
brave,va,ñemeň
brave man,n,"gaynde, jambaar"
bravery,n,jambaaryaa
bread,n,mbuur
break,v,"tey, toj"
breakfast,n,ndekki/ndeewo
breakup,v,tas
breast,n,ween
breathe,v,nooki
breed,v,"yafal, yar"
breezy,n,ngelaw/ngelew
"brew ""ataya""",v,xiim
bribe,v,"daas, dukku, neexal"
bride,n,séet
bridegroom,n,séet
bridesmaid,n,palaale
brief lapse of time,n,saas
bring down,v,daanel
broke,va,banka
broken,v,toj
broken,va,yaaxu
bronze,n,"porom, xanjar"
broody,va,geenji
broom,n,bale
brother,n,caameň
bruised,va,rooceeku
bubble,v,bax
build,v,"sampa, sañca, tabax"
building,n,neeg
bunch,n,"cabba, saam"
bunch,v,jal
burial,n,suul
burial ground,n,baameel
burn,n,lakka-lakka
burn,v,lakka
burp,v,giix
burst,v,faaca
bury,v,"roob, suul"
bush,n,aala
bush pig,n,mbaam-aala
business,n,"afeer, duggoo, mbir, soloh"
business like,va,tëstës
bussiness,va,soxla
busy,va,xat
but,conj,"wante/waay, bari"
butt,n,meego
butt,v,mboka
buttocks,n,"kofal, kus, taat, won/wan"
by,postp,la
by oneself,v,fere
cabbage,n,"su, supo me"
cable,n,fiil
cage,n,kaaf
cake,n,laamarsees
calabash,n,"koog, lekket"
calamity,n,estuwaar
calculate,v,kalkil
call,n,oote
call,v,oo
call someone's attention,v,ee
calm,n,jat
calm,va,"giif, kew, miskar"
camel,n,gëlëm
can,v,noo
can,n,pot
cancel,v,"baay, fooma"
candle,n,sondeel
candy,n,tangal
cannon,n,kënu
cannon,v,kënu
canoe,n,looco
canteen,n,mbaar
cap,n,mbaxana
caprbility,n,mun-mun
car,n,oto/woto
car park,n,gaaraas
careful,va,em
carpenter,n,minisé
carpet,n,tape
carrot,n,karot
carry,n,uuf
carry,v,fob/fab
carry away,v,yoóbu
carry on one's shoulder,v,gaddu
carry on the head,v,enu
carry someone on the back,v,boot
cart,n,"sareet, saret"
carve,v,eeta
carve,n,eeta
carver,n,lawbe
cashew,n,kasu
cassava,n,ñambi
cassava dough,n,fufu
castle,v,korte
castrate,v,taapa
catch,v,"jaappa, napa"
catfish,n,kon
Catholic,n,katolik
cattle,n,jur
cause,n,tax
cause to bend,v,juutal
cave,v,maaba
celebrate,v,baaxental
celebrate,n,maagal
celebration,n,"feet, xew"
cemetary,n,"baameel, janaase, waraaj"
censer,n,anda
centre of the house,n,diggi-néeg
cereal,n,findi
ceremony,n,xew
certainly,ex,"ko, saalaaw"
chaff,n,cox
chain,n,toogu
Chainese green tea,n,warga
chair,n,siis
chance,n,alaafiya
change,v,wecci
change,n,weccit
change direction,v,baakanti
character,n,jikko
charcoal,n,keriñ
charred,va,xóm
chase,v,riiteé
chat,n,waxtaan
chat,v,waxtaan
chatting place,n,garan-palaas
cheap,va,yomba
cheat,v,muuse
check,n,lex
chellenge,n,sas
chest,n,"dënna, kees"
chew,v,"saxaarmi, yëy"
chewing,v,warax
chewing stick,n,soocu
chick,n,cuuc
chicken,n,ganaar
chief,n,"njiit, seef"
child,n,"doom, guné/goné, xalel"
child's word for father,n,paa
chin,n,sikim
China green tea,n,ataaya
chip,v,"ekati, féela"
chip,n,feelit
choke,v,föt
choose,v,taanal
choose a leader,v,jiital
chop,v,ferej
Christain,n,katolik
christening,n,ngénté
christian,n,gurmet
church,n,jangu
cinema,n,sinemaa
circle,n,geéw
circumcise,v,jonga
circumcision,n,lël
citizens,n,waa
claim one's due,v,feyu
clap,v,taacu
clarify,va,leeral
class,n,kalaas
clayish,adj,potopoto
clean,va,laabu
clean,v,laab
clean,adj,set
clean(fish),v,waas
cleaniness,n,cet
clear,v,"laali, ruuj"
client,n,kiliyaan
climax,v,guu
climb,v,éeg
climb down,v,jii
climb over,v,ñaay
clitoris,n,"cóola, coota"
cloak,n,tegu
close,v,"tëj, ub"
close one's eyes,v,góma
closed,va,ubbu
closed to someone,va,jaxasoo
cloth,n,"piis, sër"
clothe,v,ooda
clothes,n,yéré
clothes pin,n,keppu
clots,n,gallox
cloudly,va,xiin
club,n,"kompin, mbootaay"
coal pot,n,furno
coastal village,n,teeru
coat,n,palto
cobbler,n,uude
cock,n,séexa
cockroach,n,mbóot
coffee,n,kafe
coincidence,n,toombee
coins,n,xanjar
cold,n,xurfaan
cold,v,liw
cold,va,sedda
collapse,v,maaba
collect,v,for
collect rain water,v,taataan
collegue,n,njaati gi
collide,v,kënu
colour,n,kuloor
come,v,dikka
come and take,v,jëlsi
come back,v,delusi
come down,v,waaca
come from,v,"baayeekoo, faxeeku, jóggee"
come out suddenly,v,pól
comfortable,va,teeda
commace,v,kumaase
command,n,ndigtal
command,v,ilif
commanding appearance,n,jëmma/jomma
commence,v,"door, taambali"
commit adultery,v,saacoo
commit suicide,v,xaru
companion,n,andandoo
company,n,kompin
compare,v,toolaale
complain,v,"jaambaat, tawat"
complainer,n,jaambaatkat
complete,v,"éegali, fëgël, mutali"
completed,va,"sooti, sutal, suti"
completely,adv,fer
compound,n,kër
conceal a person's secret,v,sutura
concealed,adj,sutura
conch,n,yéet
confront,v,"aaka, laanga"
confrontation,n,aaka
confront(slang),v,dal
confuse,v,jaawaatle
congratulate,v,njukkal
congregation,n,mbooloo
conjuntivities,n,waanent
conspicous,va,xumba
conspiracy,n,janfaa
conspire,v,janfaa
constable,n,konsumél
constipated,va,seere
construct,v,tabax
consult,v,seetlu
consult a marabout,v,seruntu
consult together,v,gisee
contagious,va,waale
container,n,"mbuus, ndab, saaku"
contaminate,va,waala
content,va,tuux
contest,v,loo
continue,v,kontine
continuous,adv,takkar naase
contribute to,v,feelu
conversation,n,waxtaan
converse,v,waxtaan
convert,v,"tuub, tuubal"
convey,v,gungeé
cook,v,"rëndee, tooga"
cook,n,toogakat
cooked,va,ñor
cooking oil,n,diwliin
cooking pot,n,cin
cool off (something espe,v,jeéri
cool off(sth especially d,v,jeéri
cooperative,n,koparatiif
copulate,v,maa
copy,v,roy
cork,n,"kubeer, saañ"
corn,n,mbooxa
corner,n,koň
corpse,n,niiw
corrupt,v,ger/dukku
cost,n,jar
cotholic,n,gurmet
cotton,n,witéen
cough,v,sëxat
count,v,"konte, lim, woññi"
counter,n,kontuwaar
counterpart,n,njaati gi
country,n,reéw
courage,n,fit
courageous man,n,jambaaryaa
court,v,doxaan
courthouse,n,ateekaay
courtyard,n,diggi-kër
cover,n,kubeer
cover,v,"biti, dóppa/deppa, iir, muur, saanga, ub"
cover (the face),v,naaw
covered,adj,sutura
cover(oneself),v,saangu
cow,n,"kuy, nag"
co-wife,n,wujja
crack,v,feeta
crawl,v,raam
crawl under,v,bóta
crazy,va,"kanasu, wéy"
cream,n,"feene, soow"
create,v,jur
create confusion & enemit,v,dëdale
Creole,n,Aku
crevice,n,seela
cricket,n,soocet
crime,n,"estuwaar, tafaar"
crocodile,n,jasit/jësit
crooked legs,n,"las, rënka"
cross,v,galan
"cross a river, etc.",v,tey
crossed eyed,n,jéela
crossing point,n,jaaleekaay
cross-road,n,cële/cëla
crow,n,baaхой
crowd,v,sëm
crowd,n,"mbooloo, ndaje"
crowd(someone/thing),va,seéxa
crucibe,n,njaxa
cry (loudly),v,yuuxu
cube,n,donja
cucumber,n,kokumber
cultivation,n,mbay/mbey
cup,n,pot
cup one's chin,v,dégmu
cupboard,n,almoor
cure,v,faj
cure oneself,v,faju
curiosity,va,kumpa
curious,adj,kumpa
current,n,"kuran, résëň"
curse,v,danka
cursed,va,torox
curtains,n,rido
curtircura,n,illa
curve,v,"jadda, laaxa"
custom,n,cosaan
cut,n,góom
cut,v,"dog, gaja, nama, xosi"
cut down,v,"gor, kaja"
cutlass,n,jaasi
cutlet of fish,n,tëla
daddy,n,papa
Dakar(Senegal),n,ndakaaru
dance,n,ndëppa
dance,v,"fécca, pooj"
dangle,va,yoor
dangle,v,langa
dare,va,sañ
dark,n,lëndëm
darkness,n,lëndëm
dart,v,naangateku
date,v,doxaan
date fruit,n,taandarma
date tree,n,taandarma
dates,n,taandarma
dawn,n,"fajar, njël"
day,n,"bés, fan"
day before yesterday,n,barkaati demba
day break,n,"bötset/börset, bótset/bórset"
dead,va,gaañu
deaf,va,tëx
death,n,saay
death announcement,n,taagee
decency,n,sutura
decend,v,jii
decide,v,dogal
decieve,v,"kolooj, muuse"
decline,v,jii
decob,v,mbool
dedicate something to soe,v,jagle
deer,n,kewel
defeat,v,daan
defeat,va,mun
defecate,v,"duul, puup"
defecate,n,day
defecation,n,puup
defend,v,kal
deliver,v,"jur, wosin"
deliver a message,v,"aagee/eegee, éegee"
delude,v,kolooj
demonstrate,v,gerew
demote,v,fooli
denounce,v,feeñal
deny,v,"weedi, xañ"
depart,v,taa
department,n,bunta
dependant,n,surga
deposit,v,dawal
depreciate,va,raaga
deprive,v,aayee
descend,v,waaca
desert,v,gaadaay
desert,va,jaambu
desire,n,sago
destroy,v,"kasaara, yaaxa"
destroyed,va,yaaxu
destroyed,v,tas
dethrone,v,simi/sumi
devil,n,"ibliis, seytaane"
devoted,va,éemu
dew,n,laayi
diapers,n,ngemba
die,v,"dee, faatu, saa"
difference,n,wutee
difference,va,utee
different,adj,fata
different,va,"utee, wutee"
difficult,va,"jafe, naxari"
difficulty,n,"coono, gaalankoo, jafe jafe, tëxa-tëxa"
digest,v,rees
digger,n,gaskat
digging tool,n,gasu/gasukaay
dignitary,n,kilifa
dignity,n,daraja
dignity,adj,fulla
diligence,n,soobee
dilute,v,njar
diluted,va,xormbet
dinner,n,reer
direction,n,ndigtal
dirt,n,salte
dirty,va,"fónax, salte, tilim"
dirty,adj,noo
disable,n,laago
disagree,v,weedi
disappear,va,"maay, sanku"
disappear,v,meles
disappoint,v,lor
disappointment,va,wor
disbelief,va,gomadi
disciple,n,taalube
discourage,v,yooxi
discrect,n,sutura
discriminate,v,génaatle
discuss,n,diisó
disease,n,jangoro
disease,va,feebar
disgrace,va,gaace
disgreed to counter,v,kontaar
dish,n,mbuum
dislike,va,sib
dislocation,adj,foxoj
display,v,laa
dissappoint,adj,janfaa
dissolve,v,yooy
distinguish,v,raañe
disturb,v,xatal
disturb,va,lakkal
divide,v,"xaaj, xaaji"
divide,n,sédaale
divided,v,talaata
divided,va,xajaaloo
divorce,va,fase
dizziness,va,meer
dizziness,n,miir
dizzy,va,miir
do,v,"def, waa"
do an act descretely,v,saacoo
do deliberately,v,tey
do intentionally,v,tey
do it,ex,aca
do laundary,v,fóót
dock,n,waaf
doctor,n,doktor
dog,n,xaj
donkey,n,"mbaam, mbaam-sëf"
door,n,bunta
dosappointment,va,or
doubt,v,jaaxal
dough nuts,n,beñe
down pour of water,n,walangaan
doze,v,jinkoo
doze,adj,gam-gami
dozing,vn,jinkoo
drag,v,watat
drain,n,pax
drake,n,maal
draw,va,maas-gu-dan
draw,v,"bii, tanxa"
draw/fetch water,v,duy
draw(water),v,root
dream,v,genta
drenched,v,tawat
dress,v,"baandaas, sol"
dress,n,"mbubba, rooba"
dress well,v,paree
dressed,va,solu
dressing well,n,paree
dried,va,ñeer/neer
dried fish,n,geeja
drink,v,naan
drink from the a bottle,v,jolu
drip,v,"siit, tooxa"
drive away,va,daaxa
drive away,v,daaxa
driver,n,"daraayba, dawalkat"
drizzle,n,wis-wisal
drop,v,wodda/rot
drought,n,"beekoor, maral"
drouse,adj,gam-gami
drown,v,"lab/lap, raw"
drum,v,sabar
drum,n,"mantaas, ndënda, sabar, tabala"
drum stick,n,pooj
drummer,n,tëgakat
drumming (activity),n,tama
drunk,va,"daaju, mandi"
drunkard,n,daajukat
dry,va,wow
dry season,n,noor
dry(food only),n,wesen
duck,n,kanaara
dull,va,soof
dumb,n,"lu, muumu"
duration of life,adj,"giiru-dunda, timis"
dusk,n,"marax, timis"
duty,n,sas
dwarf,n,"kuus, ndaama"
dwindle,v,rës
dye,v,suub
dye,n,cuub
eagle,n,"tan, jaxaay, licin"
ear,n,noppa
early,va,teel
ear-ring,n,jaaru-noppa
east,n,penku
easy,va,yomba
eat,v,"kojomtu, lumpa"
eat,n,lekka
eat (powder),v,muut
eat (slowly),v,ñimantalu
Ebou,n,Ibu
echo,v,jib
economy,n,kom-kom
edge,n,cat
educate,v,jangale
education,n,njanga
effort,n,ngoóra
effort,v,kata
egg,n,nen
egg plant,n,batanse
ejaculate,v,jii
elaborate,v,ñaax
elbow,v,cóñcó
elbow(n),v,cóñcó
elder,adj,mag
elderly person,n,kilifa
elect,v,fal
elected,va,falu
elections,n,oote
electricity,n,"kuran, lampa"
elephant,n,ñay
ember,n,xal
embroidery,n,dawume
emerge from,v,baayeekoo
(emphasizes prededing),ex,wo
empty,v,yuli
empty,n,neen
empty container,n,xoota
empty ground,n,baya'l/baye
enact,v,tëral
enclosure,n,naag
encounter,v,daj
encourage,v,gal-gal
end,v,raj
end,n,"muj, muje"
endure,va,antan/antal
enemy,n,mbañ
England,n,Angalteer
English,n,Angale
enjoy,va,teeda
enlarge,v,yaatal
enough,va,doy
entangle,va,lëj
entangled,va,lëju
enter,v,dugga
entertain,v,teral
entertain a guest,v,ganale
envious,va,añaan
equal,va,tooloo
equal,n,maase
equally,adv,equally and also (adv) it.
erect,v,sampa.
erection,n,kuddal.
escape,v,rëcca.
essence,n,safal.
esteen,va,naw.
estimate,v,xayma.
ethnic group,n,xeet.
eulogize,v,taga.
even,adv,sax.
evening,n,ngoón.
ever,adv,mus.
every thing/place etc.,adj,yёр.
everybody,adj,ku-nekka.
everyday,adj,bés bu nekka.
everyone,adj,ku-nekka.
everything,n,"leppa, lu-nekka."
everytime,adv,saayu-nekka.
everywhere,n,"féepa, fu nekka."
evostic,n,kol.
